         79804477 function calls (79163147 primitive calls) in 1254.474 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1 1001.553 1001.553 1044.631 1044.631 /mnt/c/Users/evobi/Desktop/SNPio/snpio/read_input/genotype_data.py:1252(<dictcomp>)
   125280   96.400    0.001  119.365    0.001 /mnt/c/Users/evobi/Desktop/SNPio/snpio/read_input/genotype_data.py:1314(_load_gt_calldata)
   253290   47.383    0.000   47.383    0.000 {built-in method numpy.array}
        1   21.576   21.576 1229.094 1229.094 /mnt/c/Users/evobi/Desktop/SNPio/snpio/read_input/genotype_data.py:1123(get_vcf_attributes)
   125280   19.656    0.000   22.965    0.000 /mnt/c/Users/evobi/Desktop/SNPio/snpio/read_input/genotype_data.py:1329(<listcomp>)
    52490   18.064    0.000   18.064    0.000 {method 'read' of '_io.BufferedReader' objects}
   250560   11.336    0.000   11.336    0.000 {method 'format' of 'cyvcf2.cyvcf2.Variant' objects}
  1629200    3.810    0.000    6.870    0.000 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/_appmap/wrapt/wrappers.py:210(__getattribute__)
 53619870    3.308    0.000    3.308    0.000 {built-in method builtins.ord}
   250586    2.211    0.000    2.358    0.000 /usr/lib/python3.8/_collections_abc.py:657(get)
   125280    1.570    0.000    8.089    0.000 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/numpy/lib/arraypad.py:529(pad)
  1629200    1.485    0.000    1.732    0.000 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/_appmap/wrapt/wrappers.py:21(slots)
    52477    1.393    0.000    1.393    0.000 {method 'decompress' of 'zlib.Decompress' objects}
   125317    1.294    0.000    7.042    0.000 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/_appmap/wrapt/wrappers.py:526(__get__)
   250560    1.209    0.000    3.154    0.000 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/numpy/lib/arraypad.py:454(_as_pairs)
  4010432    1.010    0.000    1.327    0.000 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/_appmap/wrapt/wrappers.py:22(<genexpr>)
 125293/3    0.978    0.000 1254.536  418.179 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/_appmap/instrument.py:124(instrumented_fn)
   125280    0.976    0.000    1.504    0.000 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/numpy/lib/arraypad.py:86(_pad_simple)
   125280    0.877    0.000    1.016    0.000 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/numpy/lib/arraypad.py:129(_set_pad_area)
631900/380513    0.837    0.000    9.136    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
 125317/3    0.668    0.000 1254.536  418.179 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/_appmap/wrapt/wrappers.py:673(__call__)
254394/254390    0.572    0.000    0.572    0.000 {built-in method numpy.asarray}
 125293/3    0.569    0.000 1254.536  418.179 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/_appmap/instrument.py:76(call_instrumented)
        4    0.527    0.132    0.527    0.132 {method 'encode' of 'ImagingEncoder' objects}
   250586    0.517    0.000    0.901    0.000 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/_appmap/instrument.py:57(saved_shallow_rule)
        2    0.442    0.221   21.912   10.956 {method 'readlines' of '_io._IOBase' objects}
   250560    0.429    0.000    0.429    0.000 {method 'get' of 'cyvcf2.cyvcf2.INFO' objects}
2646605/2646561    0.416    0.000    0.428    0.000 {built-in method builtins.getattr}
    59054    0.386    0.000    0.386    0.000 {built-in method zlib.crc32}
      473    0.381    0.001    0.381    0.001 {method 'tolist' of 'numpy.ndarray' objects}
126714/126640    0.378    0.000    0.890    0.000 /usr/lib/python3.8/contextlib.py:117(__exit__)
   125325    0.375    0.000    0.375    0.000 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/_appmap/wrapt/wrappers.py:83(__init__)
  1634717    0.360    0.000    0.360    0.000 {method 'append' of 'list' objects}
    52477    0.359    0.000   20.713    0.000 /usr/lib/python3.8/gzip.py:454(read)
   125325    0.350    0.000    0.725    0.000 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/_appmap/wrapt/wrappers.py:514(__init__)
   125496    0.343    0.000    0.343    0.000 {method 'strip' of 'str' objects}
   250560    0.339    0.000    0.988    0.000 <__array_function__ internals>:177(squeeze)
        1    0.323    0.323    8.993    8.993 /mnt/c/Users/evobi/Desktop/SNPio/snpio/read_input/genotype_data.py:1258(<listcomp>)
   126714    0.309    0.000    0.347    0.000 /usr/lib/python3.8/contextlib.py:82(__init__)
   125317    0.302    0.000    0.421    0.000 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/_appmap/wrapt/wrappers.py:654(__new__)
        7    0.289    0.041    0.289    0.041 {built-in method io.open_code}
   125425    0.278    0.000    0.278    0.000 {built-in method numpy.empty}
    52477    0.266    0.000   21.036    0.000 /usr/lib/python3.8/_compression.py:66(readinto)
  1629200    0.247    0.000    0.247    0.000 {built-in method from_iterable}
   125293    0.243    0.000    0.243    0.000 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/_appmap/utils.py:32(classify)
    91844    0.242    0.000   18.297    0.000 /usr/lib/python3.8/gzip.py:85(read)
   125280    0.226    0.000    0.226    0.000 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/numpy/lib/arraypad.py:58(_view_roi)
   125293    0.221    0.000    0.464    0.000 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/_appmap/importer.py:39(classify_fn)
      114    0.217    0.002    0.217    0.002 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
   125293    0.192    0.000    2.388    0.000 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/_appmap/recorder.py:100(_get_current)
   125280    0.186    0.000    8.637    0.000 <__array_function__ internals>:177(pad)
   125560    0.182    0.000    0.182    0.000 {method 'round' of 'numpy.ndarray' objects}
   125293    0.178    0.000    0.178    0.000 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/_appmap/utils.py:51(__setitem__)
   250560    0.170    0.000    0.310    0.000 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/numpy/core/fromnumeric.py:1504(squeeze)
   126714    0.170    0.000    0.517    0.000 /usr/lib/python3.8/contextlib.py:238(helper)
   250796    0.167    0.000    0.167    0.000 {method 'ravel' of 'numpy.ndarray' objects}
   252469    0.165    0.000    0.165    0.000 {built-in method __new__ of type object at 0x909780}
253905/253609    0.163    0.000    1.093    0.000 {built-in method builtins.next}
   125293    0.162    0.000    0.627    0.000 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/_appmap/importer.py:60(fntype)
        1    0.160    0.160    0.160    0.160 {built-in method _imp.create_dynamic}
   250586    0.147    0.000    0.147    0.000 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/_appmap/utils.py:48(__getitem__)
   125560    0.143    0.000    0.484    0.000 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/numpy/core/fromnumeric.py:3245(around)
126714/126640    0.141    0.000    0.721    0.000 /usr/lib/python3.8/contextlib.py:108(__enter__)
   250561    0.140    0.000    0.140    0.000 {method 'squeeze' of 'numpy.ndarray' objects}
   125293    0.140    0.000    2.528    0.000 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/_appmap/recorder.py:38(get_current)
        1    0.139    0.139 1229.249 1229.249 /mnt/c/Users/evobi/Desktop/SNPio/snpio/read_input/genotype_data.py:1002(read_vcf_mod)
   250560    0.138    0.000    0.138    0.000 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/numpy/lib/arraypad.py:33(_slice_at_axis)
   125560    0.136    0.000    0.875    0.000 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/numpy/core/fromnumeric.py:3754(round_)
   125406    0.135    0.000    0.135    0.000 {method 'astype' of 'numpy.ndarray' objects}
   125293    0.131    0.000    2.659    0.000 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/_appmap/recorder.py:71(get_enabled)
729870/729649    0.128    0.000    0.128    0.000 {built-in method builtins.len}
   250560    0.126    0.000    0.126    0.000 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/numpy/lib/arraypad.py:120(<genexpr>)
   250560    0.124    0.000    0.124    0.000 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/numpy/lib/arraypad.py:109(<genexpr>)
    52477    0.123    0.000   21.159    0.000 {method 'read1' of '_io.BufferedReader' objects}
       27    0.117    0.004    0.118    0.004 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/matplotlib/patches.py:399(set_linestyle)
   125560    0.117    0.000    0.739    0.000 <__array_function__ internals>:177(around)
   126426    0.112    0.000    0.356    0.000 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/numpy/core/fromnumeric.py:51(_wrapfunc)
       30    0.109    0.004    0.109    0.004 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/pandas/core/generic.py:5931(__finalize__)
    52480    0.104    0.000    0.104    0.000 {built-in method _codecs.utf_8_decode}
   125560    0.103    0.000    1.111    0.000 <__array_function__ internals>:177(round_)
150521/150479    0.096    0.000    0.101    0.000 {built-in method builtins.isinstance}
   125341    0.093    0.000    0.182    0.000 /usr/lib/python3.8/inspect.py:72(isclass)
    52477    0.084    0.000   21.267    0.000 /usr/lib/python3.8/gzip.py:294(read1)
    59037    0.076    0.000    0.092    0.000 /usr/lib/python3.8/gzip.py:98(prepend)
    52476    0.075    0.000    0.464    0.000 /usr/lib/python3.8/gzip.py:505(_add_read_data)
   250560    0.074    0.000    0.074    0.000 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/numpy/core/fromnumeric.py:1500(_squeeze_dispatcher)
    52480    0.074    0.000    0.178    0.000 /usr/lib/python3.8/codecs.py:319(decode)
       33    0.070    0.002    0.070    0.002 {built-in method posix.stat}
        1    0.070    0.070    0.116    0.116 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/pandas/core/algorithms.py:908(value_counts_arraylike)
        4    0.060    0.015    0.060    0.015 {built-in method io.open}
   251120    0.056    0.000    0.056    0.000 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/numpy/core/fromnumeric.py:3241(_around_dispatcher)
        3    0.047    0.016    0.047    0.016 {pandas._libs.algos.ensure_object}
       14    0.044    0.003    0.044    0.003 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/pandas/core/indexes/base.py:5109(__contains__)
