         23642086 function calls (23642066 primitive calls) in 44.000 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  4816002   10.225    0.000   10.225    0.000 {method 'join' of 'str' objects}
        6    6.441    1.073    6.441    1.073 {built-in method numpy.core._multiarray_umath._vec_string}
        2    6.343    3.172   24.757   12.379 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/numpy/lib/shape_base.py:267(apply_along_axis)
    14000    3.832    0.000    7.212    0.001 /mnt/c/Users/evobi/Desktop/SNPio/snpio/read_input/genotype_data.py:1945(replace_alleles)
  2338020    3.322    0.000    3.322    0.000 {built-in method numpy.asanyarray}
  2324007    2.379    0.000    2.379    0.000 {method 'astype' of 'numpy.ndarray' objects}
        1    2.176    2.176    2.176    2.176 {method 'writelines' of '_io._IOBase' objects}
  2324000    1.829    0.000   12.289    0.000 /mnt/c/Users/evobi/Desktop/SNPio/snpio/read_input/genotype_data.py:1883(concat_arr2strings)
    14000    1.619    0.000    2.838    0.000 /mnt/c/Users/evobi/Desktop/SNPio/snpio/read_input/genotype_data.py:1952(<listcomp>)
  2338002    1.491    0.000    3.515    0.000 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/numpy/lib/shape_base.py:370(<genexpr>)
  2338002    1.285    0.000    2.024    0.000 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/numpy/lib/index_tricks.py:691(__next__)
       14    0.955    0.068    0.955    0.068 {built-in method numpy.array}
2338008/2338006    0.739    0.000    0.739    0.000 {built-in method builtins.next}
  4741458    0.540    0.000    0.540    0.000 {method 'replace' of 'str' objects}
    30/15    0.376    0.013   31.581    2.105 {built-in method numpy.core._multiarray_umath.implement_array_function}
        1    0.194    0.194    0.953    0.953 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/numpy/lib/function_base.py:2400(_vectorize_call)
        1    0.071    0.071    0.114    0.114 /mnt/c/Users/evobi/Desktop/SNPio/snpio/read_input/genotype_data.py:1898(<listcomp>)
        1    0.068    0.068   43.994   43.994 /mnt/c/Users/evobi/Desktop/SNPio/snpio/read_input/genotype_data.py:1710(write_vcf)
        1    0.039    0.039    7.251    7.251 /mnt/c/Users/evobi/Desktop/SNPio/snpio/read_input/genotype_data.py:1955(<listcomp>)
        1    0.016    0.016    0.832    0.832 /mnt/c/Users/evobi/Desktop/SNPio/snpio/read_input/genotype_data.py:1961(<listcomp>)
        1    0.013    0.013    0.967    0.967 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/numpy/lib/function_base.py:2301(__call__)
        1    0.011    0.011    0.017    0.017 /mnt/c/Users/evobi/Desktop/SNPio/snpio/read_input/genotype_data.py:1940(<listcomp>)
        1    0.008    0.008    0.008    0.008 {method 'write' of '_io.TextIOWrapper' objects}
        1    0.007    0.007    0.007    0.007 {built-in method io.open}
      2/1    0.006    0.003   44.000   44.000 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/_appmap/instrument.py:76(call_instrumented)
    14000    0.006    0.000    0.054    0.000 /mnt/c/Users/evobi/Desktop/SNPio/snpio/read_input/genotype_data.py:1850(<lambda>)
    14000    0.004    0.000    0.004    0.000 {method 'split' of 'str' objects}
    14012    0.002    0.000    0.002    0.000 {built-in method builtins.len}
    14000    0.002    0.000    0.002    0.000 {method 'strip' of 'str' objects}
        2    0.000    0.000    0.000    0.000 {built-in method builtins.print}
        2    0.000    0.000    0.000    0.000 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/numpy/lib/stride_tricks.py:38(as_strided)
        1    0.000    0.000    1.340    1.340 /mnt/c/Users/evobi/Desktop/SNPio/snpio/read_input/genotype_data.py:1423(_snpdata2gtarray)
       24    0.000    0.000    0.000    0.000 {built-in method numpy.asarray}
        3    0.000    0.000    0.300    0.100 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/numpy/core/shape_base.py:383(stack)
        6    0.000    0.000    0.000    0.000 {built-in method numpy.zeros}
        6    0.000    0.000    6.441    1.073 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/numpy/core/defchararray.py:297(add)
