         244222054 function calls (244208003 primitive calls) in 83.528 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    28000   10.108    0.000   53.304    0.002 /scrfs/storage/btm002/home/local/src/SNPio/snpio/read_input/genotype_data.py:1362(<listcomp>)
 14980000    8.897    0.000   27.454    0.000 pysam/libcbcf.pyx:797(bcf_format_get_value)
 29960000    6.256    0.000    6.256    0.000 pysam/libcbcf.pyx:302(genexpr)
      182    5.717    0.031    6.240    0.034 /home/btm002/local/src/SNPio/.snpio-test/lib/python3.10/site-packages/h5py/_hl/dataset.py:848(__setitem__)
 14980000    5.682    0.000    6.924    0.000 pysam/libcbcf.pyx:2882(__getitem__)
 11984000    5.626    0.000   11.882    0.000 pysam/libcbcf.pyx:277(bcf_array_to_object)
   154011    4.019    0.000    4.074    0.000 pysam/libcbcf.pyx:4170(__next__)
 12012000    3.581    0.000    4.950    0.000 pysam/libcbcf.pyx:501(bcf_get_value_count)
 14980000    3.152    0.000   35.963    0.000 {method 'get' of 'pysam.libcbcf.VariantRecordSample' objects}
    16822    2.988    0.000    2.988    0.000 {built-in method numpy.array}
  2996000    2.943    0.000    3.282    0.000 /scrfs/storage/btm002/home/local/src/SNPio/snpio/read_input/genotype_data.py:1287(transform_pair)
 14980000    2.765    0.000   32.810    0.000 pysam/libcbcf.pyx:3572(get)
 15022000    2.727    0.000    4.015    0.000 pysam/libcbcf.pyx:3315(__get__)
 14980000    2.591    0.000   30.045    0.000 pysam/libcbcf.pyx:3540(__getitem__)
    14000    2.257    0.000    9.226    0.001 /scrfs/storage/btm002/home/local/src/SNPio/snpio/read_input/genotype_data.py:1342(<listcomp>)
  9030000    2.247    0.000    2.247    0.000 pysam/libcbcf.pyx:2903(__iter__)
 29960000    1.687    0.000    1.687    0.000 pysam/libcbcf.pyx:237(is_gt_fmt)
 15022000    1.288    0.000    1.288    0.000 pysam/libcbcf.pyx:3010(makeVariantRecordSamples)
 14980000    1.242    0.000    1.242    0.000 pysam/libcbcf.pyx:3649(makeVariantRecordSample)
        1    1.086    1.086    1.097    1.097 /home/btm002/local/src/SNPio/.snpio-test/lib/python3.10/site-packages/h5py/_hl/dataset.py:742(__getitem__)
  2996000    0.728    0.000    0.882    0.000 pysam/libcbcf.pyx:952(bcf_format_get_allele_indices)
 12040000    0.688    0.000    0.688    0.000 pysam/libcbcf.pyx:233(check_header_id)
    14000    0.680    0.000    4.759    0.000 /scrfs/storage/btm002/home/local/src/SNPio/snpio/read_input/genotype_data.py:1278(transform_gt)
  3024107    0.544    0.000    0.544    0.000 {method 'join' of 'str' objects}
3870/3866    0.536    0.000    0.545    0.000 {built-in method numpy.asarray}
6046283/6046238    0.519    0.000    0.523    0.000 {built-in method builtins.isinstance}
        4    0.469    0.117    0.469    0.117 {method 'encode' of 'ImagingEncoder' objects}
      165    0.416    0.003   72.079    0.437 /scrfs/storage/btm002/home/local/src/SNPio/snpio/read_input/genotype_data.py:1269(fetch_data)
  2040701    0.340    0.000    0.340    0.000 {built-in method builtins.sorted}
        1    0.285    0.285   82.094   82.094 /scrfs/storage/btm002/home/local/src/SNPio/snpio/read_input/genotype_data.py:1036(get_vcf_attributes)
     5868    0.165    0.000    0.165    0.000 {method 'decompress' of 'zlib.Decompress' objects}
      473    0.058    0.000    0.058    0.000 {method 'tolist' of 'numpy.ndarray' objects}
        2    0.052    0.026    0.052    0.026 /home/btm002/local/src/SNPio/.snpio-test/lib/python3.10/site-packages/h5py/_hl/files.py:576(close)
   154000    0.044    0.000    0.055    0.000 pysam/libcbcf.pyx:3402(makeVariantRecord)
     6619    0.042    0.000    0.042    0.000 {built-in method zlib.crc32}
        2    0.041    0.020    0.041    0.020 /home/btm002/local/src/SNPio/.snpio-test/lib/python3.10/site-packages/h5py/_hl/files.py:211(make_fid)
      114    0.039    0.000    0.039    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
   154000    0.035    0.000    0.035    0.000 pysam/libcbcf.pyx:3026(__dealloc__)
